"photo_id","title","year","location","source_url","license"
"gz_file1919jpg_006","1919廣東省運會.jpg","","广州","https://commons.wikimedia.org/wiki/File:1919廣東省運會.jpg","Public domain"
"gz_filecantoninthe18506_018","Canton in the 1850-60s.jpg","1850","广州","https://commons.wikimedia.org/wiki/File:Canton_in_the_1850-60s.jpg","Public domain"
"gz_fileeenstraatinguang_025","Een straat in Guangzhou, China Kanton. Een straat (titel op object) Aardrijkskundige beeldengalerij, verzameld door M.J. Broekhuijsen, hoofd eener school te Amsterdam (serietitel op object) Collectie H (serietitel op , RP-F-F12885.jpg","1900","广州","https://commons.wikimedia.org/wiki/File:Een_straat_in_Guangzhou,_China_Kanton._Een_straat_(titel_op_object)_Aardrijkskundige_beeldengalerij,_verzameld_door_M.J._Broekhuijsen,_hoofd_eener_school_te_Amsterdam_(serietitel_op_object)_Collectie_H_(serietitel_op_,_RP-F-F12885.jpg","CC0"
"gz_fileforeigncemeteryo_026","Foreign cemetery on Dane's Island.jpg","1840","广州","https://commons.wikimedia.org/wiki/File:Foreign_cemetery_on_Dane's_Island.jpg","Public domain"
"gz_fileforeignfactorysi_027","Foreign factory site.jpg","1850","广州","https://commons.wikimedia.org/wiki/File:Foreign_factory_site.jpg","Public domain"
"gz_filegodownsinhonamjp_031","Godowns in Honam.jpg","1857","广州","https://commons.wikimedia.org/wiki/File:Godowns_in_Honam.jpg","Public domain"
"gz_fileboatlifefrombund_034","Boat Life from Bund Canton.jpg","1917","广州","https://commons.wikimedia.org/wiki/File:Boat_Life_from_Bund_Canton.jpg","Public domain"
"gz_filecantonbirdseyevi_035","Canton Bird's-eye view.jpg","","广州","https://commons.wikimedia.org/wiki/File:Canton_Bird's-eye_view.jpg","Public domain"
"gz_filecantoninteriorof_036","Canton Interior of a Coffin shop.jpg","1910","广州","https://commons.wikimedia.org/wiki/File:Canton_Interior_of_a_Coffin_shop.jpg","Public domain"
"gz_filecantonnationalsu_037","Canton National Sun Yat-sen University.jpg","","广州","https://commons.wikimedia.org/wiki/File:Canton_National_Sun_Yat-sen_University.jpg","Public domain"
"gz_filecantontemple2jpg_038","Canton Temple 2.jpg","1939","广州","https://commons.wikimedia.org/wiki/File:Canton_Temple_2.jpg","Public domain"
"gz_filecantontemplejpg_039","Canton Temple.jpg","1939","广州","https://commons.wikimedia.org/wiki/File:Canton_Temple.jpg","Public domain"
"gz_filecantonportraitso_040","Canton. Portraits of Pey Kwei, the Governor of Canton, Mandarin of the Red Button, or of the First Class, with Mr. Commissioner Parkes, and Attendants on Pey Kwei (cropped).jpg","1858","广州","https://commons.wikimedia.org/wiki/File:Canton._Portraits_of_Pey_Kwei,_the_Governor_of_Canton,_Mandarin_of_the_Red_Button,_or_of_the_First_Class,_with_Mr._Commissioner_Parkes,_and_Attendants_on_Pey_Kwei_(cropped).jpg","Public domain"
"gz_filecantonportraitso_041","Canton. Portraits of Pey Kwei, the Governor of Canton, Mandarin of the Red Button, or of the First Class, with Mr. Commissioner Parkes, and Attendants on Pey Kwei.jpg","1858","广州","https://commons.wikimedia.org/wiki/File:Canton._Portraits_of_Pey_Kwei,_the_Governor_of_Canton,_Mandarin_of_the_Red_Button,_or_of_the_First_Class,_with_Mr._Commissioner_Parkes,_and_Attendants_on_Pey_Kwei.jpg","Public domain"
"gz_filedowntowncantonjp_042","Downtown Canton.jpg","1940","广州","https://commons.wikimedia.org/wiki/File:Downtown_Canton.jpg","Public domain"
"gz_fileducksofcantonjpg_043","Ducks of Canton.jpg","1917","广州","https://commons.wikimedia.org/wiki/File:Ducks_of_Canton.jpg","Public domain"
